doc_id,Gender,score
210,male,0.90926
306,male,0.90061
1432,male,0.8561
1532,male,0.85347
1609,male,0.85098
1995,male,0.84171
2372,female,0.83406
2962,male,0.82435
6083,male,0.77999
7740,male,0.76182
8553,male,0.75302
8708,female,0.75145
10430,female,0.73376
10725,female,0.73075
10740,male,0.73065
12300,male,0.71616
14959,female,0.69006
15767,male,0.68165
15968,female,0.67883
16151,female,0.67629
16698,female,0.66874
17110,female,0.66295
18950,female,0.63503
19135,female,0.63226
20377,female,0.61022
20748,female,0.60276
20915,male,0.59937
21181,female,0.59368
23220,female,0.53703
25133,male,0.44863
