doc_id,Gender,score
1,male,0.96137
2,female,0.8549
3,male,0.84878
4,male,0.84419
5,male,0.84032
6,male,0.83243
7,male,0.82
8,male,0.80413
9,male,0.79658
10,female,0.79653
11,male,0.79596
12,male,0.7949
13,female,0.78209
14,female,0.77114
15,male,0.77033
16,male,0.75761
17,female,0.75068
18,female,0.74944
19,male,0.7449
20,male,0.74427
21,female,0.73032
22,male,0.72893
23,female,0.72773
24,female,0.72654
25,female,0.72649
26,male,0.72114
27,female,0.71569
28,male,0.71545
29,female,0.70321
30,female,0.68973
31,female,0.68834
32,female,0.68772
33,male,0.68648
34,male,0.68504
35,female,0.68361
36,male,0.68136
37,male,0.65937
38,female,0.65291
39,female,0.64847
40,female,0.62538
41,male,0.60487
42,female,0.59722
43,female,0.56203
44,female,0.54774
45,female,0.52192
46,female,0.50045
47,male,0.4656
48,male,0.45661
49,male,0.42611
50,female,0.33733
