doc_id,Gender,predictions,GT_score,Gender
1,male,72529,72529,male
2,male,5900,5900,male
3,female,5000,5000,female
6,female,4333,4333,female
7,female,4230,4230,female
8,female,4180,4180,female
4,male,4758,4758,male
10,female,3813,3813,female
11,female,3666,3666,female
12,female,3620,3620,female
15,female,3510,3510,female
5,male,4500,4500,male
16,female,3166,3166,female
17,female,2900,2900,female
9,male,3863,3863,male
13,male,3620,3620,male
14,male,3547,3547,male
18,male,2583,2583,male
19,male,1828,1828,male
20,male,1820,1820,male
