doc_id,Gender,predictions,GT_score,Gender.1
1,male,14999,14999,male
2,female,10000,10000,female
3,female,7200,7200,female
4,male,6950,6950,male
5,female,6260,6260,female
6,male,6250,6250,male
7,female,4547,4547,female
8,female,4408,4408,female
9,female,4283,4283,female
10,male,4188,4188,male
11,male,3958,3958,male
12,female,3813,3813,female
13,female,3620,3620,female
14,female,3166,3166,female
15,female,2900,2900,female
16,male,2755,2755,male
17,male,2346,2346,male
18,male,2333,2333,male
19,male,2237,2237,male
20,male,2066,2066,male
