doc_id,Gender,predictions,GT_score,Gender.1
1,male,14683,14683,male
2,female,10000,10000,female
3,male,8703,8703,male
4,male,6125,6125,male
5,male,5128,5128,male
6,female,5000,5000,female
7,female,4606,4606,female
8,female,4583,4583,female
9,female,4408,4408,female
10,male,4260,4260,male
11,female,4230,4230,female
12,male,3948,3948,male
13,female,3813,3813,female
14,male,3613,3613,male
15,male,3445,3445,male
16,female,3400,3400,female
17,female,3166,3166,female
18,female,2876,2876,female
19,male,2014,2014,male
20,male,1782,1782,male
