doc_id,Gender,predictions,GT_score,Gender
1,female,18165,18165,female
2,male,12173,12173,male
3,male,8703,8703,male
4,female,7859,7859,female
5,female,7200,7200,female
6,female,6260,6260,female
7,female,5500,5500,female
8,female,5000,5000,female
9,male,5000,5000,male
11,female,4408,4408,female
12,female,3813,3813,female
10,male,4463,4463,male
17,female,3400,3400,female
18,female,3326,3326,female
13,male,3785,3785,male
14,male,3620,3620,male
15,male,3571,3571,male
16,male,3547,3547,male
19,male,2366,2366,male
20,male,1836,1836,male
