doc_id,Gender,predictions,GT_score,Gender
1,male,16120,16120,male
2,female,10000,10000,female
3,female,10000,10000,female
4,female,5500,5500,female
5,male,4708,4708,male
6,female,4606,4606,female
7,male,4554,4554,male
8,female,4547,4547,female
11,female,3813,3813,female
14,female,3620,3620,female
16,female,3166,3166,female
9,male,4483,4483,male
17,female,3166,3166,female
18,female,2900,2900,female
10,male,4260,4260,male
12,male,3754,3754,male
13,male,3708,3708,male
15,male,3445,3445,male
19,male,2768,2768,male
20,male,1792,1792,male
