doc_id,Gender,predictions,GT_score,Gender
2181,male,18992,18992,male
455,male,15063,15063,male
3774,female,6412,6412,female
1621,male,12670,12670,male
3831,female,5797,5797,female
3817,female,3424,3424,female
486,male,12183,12183,male
3874,female,2136,2136,female
639,male,10831,10831,male
4063,female,1143,1143,female
4019,female,1087,1087,female
1400,male,10433,10433,male
4154,female,974,974,female
948,male,10162,10162,male
4130,female,884,884,female
4042,female,786,786,female
1477,male,5323,5323,male
4111,female,703,703,female
2806,male,5039,5039,male
3982,female,600,600,female
4081,female,518,518,female
1933,male,4806,4806,male
4277,female,193,193,female
2360,male,4659,4659,male
4267,female,176,176,female
4554,female,157,157,female
422,male,3978,3978,male
4109,female,150,150,female
1449,male,1562,1562,male
4237,female,150,150,female
4378,female,146,146,female
3377,male,1544,1544,male
4413,female,137,137,female
1912,male,1502,1502,male
4603,female,100,100,female
4711,female,70,70,female
1511,male,1125,1125,male
4454,female,33,33,female
1625,male,1014,1014,male
4354,female,16,16,female
4512,female,6,6,female
1603,male,1008,1008,male
4514,female,2,2,female
3174,male,690,690,male
171,male,607,607,male
972,male,250,250,male
2641,male,158,158,male
1422,male,95,95,male
592,male,48,48,male
1233,male,17,17,male
