,doc_id,Gender,predictions,GT_score,Gender.1
0,480,male,18333,18333,male
1,188,male,12000,12000,male
2,196,male,11000,11000,male
3,874,male,6500,6500,male
4,921,male,5041,5041,male
5,295,female,5000,5000,female
6,617,female,4666,4666,female
7,865,female,3854,3854,female
8,864,female,3835,3835,female
9,24,male,3717,3717,male
10,315,female,3541,3541,female
11,712,female,3417,3417,female
12,45,female,3410,3410,female
13,731,male,3391,3391,male
14,391,male,3276,3276,male
15,590,male,2894,2894,male
16,185,male,2383,2383,male
17,337,female,2378,2378,female
18,868,female,1635,1635,female
19,493,female,645,645,female
