,doc_id,Gender,predictions,GT_score,Gender.1
0,527,male,0.88655,0.88655,male
1,1134,male,0.86231,0.86231,male
2,4525,male,0.80002,0.80002,male
3,4914,female,0.79457,0.79457,female
4,5270,male,0.78979,0.78979,male
5,6816,male,0.77191,0.77191,male
6,7454,male,0.76469,0.76469,male
7,7666,male,0.76254,0.76254,male
8,8548,male,0.75312,0.75312,male
9,10535,female,0.73261,0.73261,female
10,12230,female,0.71679,0.71679,female
11,13863,male,0.70087,0.70087,male
12,14178,male,0.6979,0.6979,male
13,15341,male,0.68633,0.68633,male
14,16163,female,0.6762,0.6762,female
15,16388,male,0.67285,0.67285,male
16,18118,female,0.64832,0.64832,female
17,18299,male,0.64536,0.64536,male
18,18816,female,0.63704,0.63704,female
19,18947,female,0.63508,0.63508,female
20,19271,female,0.6304,0.6304,female
21,19487,female,0.62667,0.62667,female
22,20110,female,0.61538,0.61538,female
23,21991,female,0.57374,0.57374,female
24,22523,male,0.55787,0.55787,male
25,23824,female,0.51575,0.51575,female
26,24258,female,0.49673,0.49673,female
27,24575,female,0.48018,0.48018,female
28,25231,male,0.4417,0.4417,male
29,26040,female,0.37013,0.37013,female
