doc_id,D,sex,Points,Career Points
1,1,male,26274,26274
2,2,male,15725,15725
5,5,female,5046,5046
3,3,male,9002,9002
8,8,female,2620,2620
4,4,male,6252,6252
12,12,female,1408,1408
6,6,male,4789,4789
13,13,female,1377,1377
14,14,female,1203,1203
7,7,male,2858,2858
16,16,female,1000,1000
9,9,male,2323,2323
17,17,female,866,866
10,10,male,2099,2099
18,18,female,794,794
11,11,male,1863,1863
19,19,female,705,705
20,20,female,646,646
15,15,male,1150,1150
21,21,female,636,636
22,22,female,534,534
23,23,female,509,509
24,24,female,503,503
25,25,female,448,448
26,26,female,365,365
27,27,female,261,261
28,28,male,257,257
29,29,male,232,232
30,30,male,169,169
31,31,female,158,158
32,32,female,155,155
33,33,female,147,147
34,34,male,147,147
35,35,male,122,122
36,36,female,97,97
37,37,female,82,82
38,38,male,81,81
39,39,female,79,79
40,40,male,70,70
41,41,male,64,64
42,42,female,55,55
43,43,male,49,49
44,44,male,43,43
45,45,male,40,40
46,46,female,25,25
47,47,male,6,6
48,48,male,6,6
49,49,male,4,4
50,50,male,2,2
