,doc_id,Gender,predictions,GT_score,Gender.1
0,154,male,39999,39999,male
1,129,male,20166,20166,male
2,917,male,16000,16000,male
3,10,male,12841,12841,male
4,188,male,12000,12000,male
5,845,male,10000,10000,male
6,741,male,6794,6794,male
7,95,male,6782,6782,male
8,726,male,6500,6500,male
9,566,male,6406,6406,male
10,290,female,5417,5417,female
11,458,female,5191,5191,female
12,844,male,5000,5000,male
13,617,female,4666,4666,female
14,532,female,4608,4608,female
15,665,male,4490,4490,male
16,807,female,4213,4213,female
17,276,female,4100,4100,female
18,738,female,4083,4083,female
19,850,female,4028,4028,female
20,49,female,4000,4000,female
21,550,male,3887,3887,male
22,406,female,3867,3867,female
23,620,male,3786,3786,male
24,894,female,3729,3729,female
25,534,female,3652,3652,female
26,182,female,3625,3625,female
27,315,female,3541,3541,female
28,443,male,3539,3539,male
29,248,female,3427,3427,female
30,116,female,3167,3167,female
31,369,male,3062,3062,male
32,930,female,3015,3015,female
33,411,female,2995,2995,female
34,491,male,2895,2895,male
35,548,female,2667,2667,female
36,892,female,2666,2666,female
37,804,male,2613,2613,male
38,388,male,2583,2583,male
39,824,female,2545,2545,female
40,60,male,2500,2500,male
41,96,female,2484,2484,female
42,632,female,2478,2478,female
43,42,male,2400,2400,male
44,577,male,2297,2297,male
45,835,female,2274,2274,female
46,296,male,2014,2014,male
47,50,female,1928,1928,female
48,146,male,1538,1538,male
49,831,male,1173,1173,male
