doc_id,D,sex,Income,ApplicantIncome
1,1,female,18165,18165
2,2,male,14683,14683
13,13,female,4742,4742
3,3,male,12173,12173
14,14,female,4606,4606
15,15,female,4583,4583
16,16,female,4547,4547
17,17,female,4408,4408
18,18,female,4333,4333
4,4,male,10833,10833
5,5,male,9328,9328
6,6,male,8000,8000
7,7,male,6950,6950
8,8,male,6500,6500
9,9,male,6250,6250
10,10,male,6083,6083
11,11,male,5166,5166
12,12,male,5128,5128
20,20,female,4230,4230
21,21,male,4188,4188
22,22,female,4180,4180
23,23,male,3850,3850
24,24,male,3808,3808
25,25,male,3754,3754
26,26,male,3708,3708
27,27,female,3666,3666
28,28,female,3620,3620
29,29,male,3523,3523
30,30,female,3510,3510
31,31,female,3400,3400
32,32,female,3326,3326
33,33,male,3189,3189
34,34,female,3166,3166
35,35,female,3166,3166
36,36,male,3089,3089
37,37,male,2914,2914
38,38,female,2900,2900
39,39,female,2876,2876
40,40,female,2720,2720
41,41,female,2645,2645
42,42,female,2600,2600
43,43,male,2454,2454
44,44,male,2439,2439
45,45,female,2366,2366
46,46,male,2267,2267
47,47,male,2253,2253
48,48,female,2107,2107
49,49,female,2031,2031
50,50,female,1907,1907
19,19,male,4301,4301
