doc_id,sex,score,ZFYA
1,male,2.67,2.67
3,female,1.42,1.42
4,female,1.26,1.26
5,female,1.09,1.09
7,female,1.05,1.05
2,male,1.67,1.67
8,female,0.97,0.97
9,female,0.92,0.92
11,male,0.88,0.88
6,male,1.05,1.05
12,female,0.76,0.76
17,female,0.34,0.34
10,male,0.89,0.89
18,female,0.3,0.3
20,female,0.16,0.16
13,male,0.46,0.46
21,female,0.12,0.12
14,male,0.43,0.43
25,female,-0.03,-0.03
15,male,0.42,0.42
26,female,-0.05,-0.05
16,male,0.39,0.39
29,female,-0.15,-0.15
19,male,0.19,0.19
30,female,-0.18,-0.18
32,female,-0.28,-0.28
22,male,0.08,0.08
33,female,-0.3,-0.3
23,male,0.05,0.05
34,female,-0.39,-0.39
24,male,-0.02,-0.02
35,female,-0.48,-0.48
27,male,-0.06,-0.06
37,female,-0.53,-0.53
28,male,-0.08,-0.08
41,female,-0.63,-0.63
31,male,-0.24,-0.24
42,female,-0.64,-0.64
43,female,-0.65,-0.65
36,male,-0.49,-0.49
38,male,-0.6,-0.6
40,male,-0.62,-0.62
39,male,-0.62,-0.62
44,female,-0.84,-0.84
45,male,-1.13,-1.13
46,male,-1.26,-1.26
47,male,-1.33,-1.33
48,male,-1.37,-1.37
49,male,-1.41,-1.41
50,female,-2.16,-2.16
