doc_id,Gender,score
1,male,0.96137
2,male,0.88163
3,female,0.87517
4,male,0.86528
5,male,0.86528
6,male,0.86217
7,female,0.85189
8,male,0.81924
9,male,0.80996
10,female,0.80442
11,female,0.78462
12,female,0.78094
13,male,0.78042
14,female,0.77549
15,male,0.77267
16,male,0.76182
17,female,0.75494
18,female,0.75326
19,female,0.75202
20,male,0.74561
21,male,0.74471
22,male,0.73337
23,female,0.72965
24,male,0.72955
25,female,0.72855
26,male,0.72792
27,female,0.71526
28,male,0.7143
29,female,0.71091
30,male,0.70412
31,female,0.69905
32,female,0.69757
33,male,0.6969
34,male,0.68887
35,female,0.68882
36,male,0.68657
37,female,0.6816
38,female,0.66984
39,female,0.64627
40,female,0.6435
41,male,0.62332
42,female,0.61558
43,male,0.60319
44,male,0.59832
45,female,0.56093
46,female,0.50414
47,female,0.48802
48,male,0.48162
49,female,0.46489
50,male,0.45193
