doc_id,D,sex,score_x,score_y
1,1,male,0.99278,0.99278
2,2,male,0.86399,0.86399
10,10,female,0.7711,0.7711
11,11,male,0.77019,0.77019
3,3,male,0.83956,0.83956
12,12,male,0.76646,0.76646
4,4,male,0.81154,0.81154
14,14,female,0.75345,0.75345
5,5,male,0.80313,0.80313
15,15,male,0.75345,0.75345
7,7,male,0.78338,0.78338
8,8,male,0.77573,0.77573
9,9,male,0.77119,0.77119
16,16,female,0.74184,0.74184
17,17,male,0.74136,0.74136
18,18,female,0.73973,0.73973
19,19,female,0.73127,0.73127
20,20,female,0.73055,0.73055
21,21,male,0.72945,0.72945
22,22,male,0.72879,0.72879
23,23,male,0.72702,0.72702
24,24,female,0.72601,0.72601
25,25,female,0.70373,0.70373
26,26,male,0.70244,0.70244
27,27,female,0.69828,0.69828
28,28,male,0.69532,0.69532
29,29,female,0.69307,0.69307
30,30,male,0.68729,0.68729
31,31,male,0.68423,0.68423
32,32,female,0.68413,0.68413
33,33,female,0.68007,0.68007
34,34,male,0.67218,0.67218
35,35,female,0.67041,0.67041
36,36,female,0.66314,0.66314
37,37,female,0.66214,0.66214
38,38,female,0.65856,0.65856
39,39,female,0.63255,0.63255
40,40,female,0.62767,0.62767
41,41,female,0.6162,0.6162
42,42,female,0.579,0.579
43,43,female,0.57633,0.57633
44,44,female,0.5551,0.5551
45,45,male,0.54506,0.54506
46,46,male,0.47196,0.47196
47,47,female,0.44667,0.44667
48,48,male,0.38509,0.38509
49,49,female,0.38022,0.38022
50,50,male,0.32533,0.32533
6,6,male,0.78348,0.78348
13,13,female,0.75532,0.75532
