doc_id,Gender,score
522,male,0.88684
1968,male,0.84223
2845,male,0.82646
3312,male,0.81795
3666,male,0.8125
3703,male,0.81207
4768,male,0.79658
5043,male,0.79294
5476,female,0.78697
7583,female,0.76345
7620,female,0.76297
8780,male,0.75078
11158,female,0.72678
11207,male,0.72639
12029,male,0.71836
12266,male,0.7164
12740,female,0.71186
13036,male,0.70909
13316,female,0.70627
13716,female,0.70235
13797,male,0.70149
14165,female,0.69804
14560,female,0.69408
14722,male,0.6924
14877,female,0.69087
14972,male,0.68992
15711,female,0.68246
16499,female,0.67161
16540,female,0.67089
16856,male,0.66683
17176,male,0.66185
17298,male,0.66013
17973,female,0.65028
18247,female,0.64646
18490,female,0.64264
19113,male,0.6326
19133,female,0.63231
19472,male,0.62695
19501,male,0.62648
19715,female,0.62256
22544,female,0.55725
23007,female,0.54372
23009,female,0.54362
23152,female,0.53937
24404,female,0.49027
24590,female,0.47956
24848,male,0.46551
24904,female,0.46192
25885,male,0.38787
26158,male,0.35636
