,doc_id,Gender,predictions,GT_score,Gender.1
0,1540,male,0.85318,0.85318,male
1,2639,male,0.82918,0.82918,male
2,2864,male,0.82612,0.82612,male
3,5177,male,0.79103,0.79103,male
4,5912,female,0.78171,0.78171,female
5,6807,male,0.77196,0.77196,male
6,6990,male,0.77009,0.77009,male
7,7075,male,0.76904,0.76904,male
8,7134,male,0.76837,0.76837,male
9,7188,female,0.76775,0.76775,female
10,7288,male,0.76636,0.76636,male
11,7816,male,0.76091,0.76091,male
12,8606,female,0.75245,0.75245,female
13,10014,female,0.73811,0.73811,female
14,10906,male,0.72898,0.72898,male
15,11034,female,0.72788,0.72788,female
16,11912,male,0.71937,0.71937,male
17,12673,female,0.71253,0.71253,female
18,13408,female,0.70526,0.70526,female
19,14531,female,0.69432,0.69432,female
20,15011,female,0.68958,0.68958,female
21,15085,female,0.68891,0.68891,female
22,15359,female,0.68609,0.68609,female
23,16060,female,0.67749,0.67749,female
24,19213,male,0.6313,0.6313,male
25,21138,male,0.59468,0.59468,male
26,24555,male,0.48143,0.48143,male
27,24799,female,0.46881,0.46881,female
28,26078,female,0.3654,0.3654,female
29,26333,female,0.3293,0.3293,female
