doc_id,D,sex,Points,Career Points
1,1,male,38387,38387
2,2,male,8486,8486
3,3,female,7380,7380
5,5,female,4984,4984
4,4,male,5086,5086
7,7,female,3534,3534
8,8,female,2849,2849
6,6,male,4914,4914
9,9,female,2747,2747
10,10,male,2264,2264
12,12,female,1935,1935
11,11,male,2199,2199
17,17,female,1458,1458
13,13,male,1914,1914
14,14,male,1908,1908
15,15,male,1703,1703
16,16,male,1578,1578
20,20,female,794,794
18,18,male,1187,1187
21,21,female,667,667
22,22,female,658,658
19,19,male,983,983
24,24,female,561,561
23,23,male,598,598
25,25,female,453,453
26,26,male,440,440
27,27,male,370,370
29,29,female,319,319
28,28,male,329,329
30,30,male,316,316
31,31,female,309,309
32,32,male,299,299
33,33,female,200,200
34,34,female,177,177
35,35,female,175,175
36,36,female,147,147
37,37,female,124,124
38,38,male,108,108
39,39,female,98,98
40,40,female,97,97
41,41,male,94,94
42,42,male,48,48
43,43,female,38,38
44,44,female,30,30
45,45,female,30,30
46,46,male,27,27
47,47,male,22,22
48,48,female,21,21
49,49,male,12,12
50,50,male,0,0
