doc_id,D,sex,score_x,score_y
1,1,male,0.98953,0.98953
6,6,female,0.75976,0.75976
2,2,male,0.82885,0.82885
10,10,female,0.73529,0.73529
3,3,male,0.79739,0.79739
13,13,female,0.73189,0.73189
4,4,male,0.7698,0.7698
14,14,female,0.72654,0.72654
5,5,male,0.76187,0.76187
16,16,female,0.723,0.723
7,7,male,0.7469,0.7469
18,18,female,0.71985,0.71985
8,8,male,0.74098,0.74098
9,9,male,0.73581,0.73581
20,20,female,0.70216,0.70216
11,11,male,0.73333,0.73333
12,12,male,0.73309,0.73309
15,15,male,0.72506,0.72506
17,17,male,0.72271,0.72271
21,21,female,0.69733,0.69733
19,19,male,0.70545,0.70545
22,22,female,0.69236,0.69236
23,23,male,0.69216,0.69216
24,24,female,0.68566,0.68566
25,25,female,0.68074,0.68074
26,26,female,0.6794,0.6794
27,27,female,0.67414,0.67414
28,28,female,0.66845,0.66845
30,30,female,0.64474,0.64474
29,29,male,0.6619,0.6619
31,31,female,0.64321,0.64321
33,33,female,0.62963,0.62963
32,32,male,0.63762,0.63762
34,34,male,0.62638,0.62638
35,35,male,0.62232,0.62232
36,36,female,0.61687,0.61687
37,37,male,0.61041,0.61041
38,38,male,0.60707,0.60707
39,39,female,0.60578,0.60578
40,40,male,0.6019,0.6019
41,41,female,0.59688,0.59688
42,42,female,0.579,0.579
43,43,male,0.57829,0.57829
44,44,female,0.55505,0.55505
45,45,female,0.53588,0.53588
46,46,male,0.52794,0.52794
47,47,female,0.4634,0.4634
48,48,male,0.45355,0.45355
49,49,male,0.44638,0.44638
50,50,female,0.37964,0.37964
