doc_id,D,sex,Income,ApplicantIncome
1,1,male,15312,15312
2,2,male,9226,9226
5,5,male,7660,7660
3,3,male,8750,8750
4,4,female,7859,7859
6,6,male,6125,6125
7,7,male,6080,6080
8,8,male,5128,5128
9,9,male,4817,4817
11,11,male,4708,4708
12,12,male,4695,4695
13,13,female,4606,4606
14,14,female,4583,4583
15,15,male,4554,4554
16,16,female,4547,4547
17,17,female,4408,4408
18,18,female,4333,4333
19,19,female,4283,4283
20,20,male,4260,4260
21,21,male,4188,4188
22,22,male,4053,4053
23,23,male,3917,3917
24,24,female,3813,3813
25,25,male,3785,3785
26,26,male,3667,3667
27,27,female,3620,3620
28,28,male,3436,3436
29,29,female,3400,3400
30,30,male,3268,3268
31,31,female,3166,3166
32,32,female,3166,3166
33,33,male,3052,3052
34,34,male,2987,2987
35,35,female,2876,2876
36,36,female,2720,2720
37,37,female,2645,2645
38,38,female,2600,2600
39,39,female,2500,2500
40,40,male,2439,2439
41,41,male,2419,2419
42,42,female,2366,2366
43,43,male,2333,2333
44,44,female,2226,2226
45,45,female,2213,2213
46,46,male,2185,2185
47,47,female,2107,2107
48,48,female,2031,2031
49,49,female,1937,1937
50,50,female,1907,1907
10,10,female,4742,4742
