doc_id,Gender,score
1,male,0.999
2,male,0.89602
3,male,0.89377
4,male,0.8681
5,male,0.86638
6,male,0.86021
7,male,0.856
8,male,0.84783
9,male,0.84611
10,male,0.82818
11,female,0.82521
12,male,0.81761
13,male,0.81278
14,male,0.81154
15,male,0.80523
16,male,0.80217
17,male,0.80021
18,male,0.80016
19,male,0.79189
20,male,0.79184
21,male,0.77764
22,female,0.77549
23,male,0.77516
24,female,0.77334
25,male,0.77009
26,male,0.76856
27,male,0.76397
28,female,0.7622
29,female,0.76015
30,male,0.75838
31,male,0.75269
32,male,0.75106
33,male,0.74016
34,male,0.73969
35,female,0.7393
36,male,0.72683
37,male,0.72663
38,female,0.72314
39,male,0.72061
40,female,0.71985
41,male,0.71846
42,female,0.71478
43,female,0.71162
44,male,0.71124
45,female,0.70469
46,female,0.70259
47,female,0.69647
48,female,0.69312
49,female,0.69236
50,female,0.69092
51,female,0.68915
52,female,0.68867
53,male,0.68585
54,female,0.68413
55,female,0.68342
56,female,0.68322
57,female,0.6793
58,female,0.67462
59,female,0.674
60,female,0.67036
61,female,0.66305
62,male,0.66262
63,male,0.66147
64,male,0.65841
65,female,0.65636
66,female,0.6477
67,male,0.64091
68,female,0.63207
69,female,0.62796
70,female,0.62509
71,male,0.62346
72,male,0.62055
73,female,0.61672
74,female,0.60391
75,female,0.60157
76,male,0.60104
77,female,0.60042
78,female,0.59076
79,male,0.58517
80,male,0.58192
81,female,0.58168
82,male,0.57518
83,male,0.57379
84,male,0.57303
85,female,0.56997
86,female,0.55931
87,female,0.5572
88,female,0.54673
89,female,0.53602
90,male,0.52187
91,male,0.5213
92,female,0.51518
93,female,0.51298
94,female,0.49491
95,male,0.46111
96,female,0.45623
97,female,0.4155
98,female,0.39222
99,female,0.3578
100,female,0.34709
