doc_id,Gender,score
760,male,0.8757
1396,male,0.85677
1441,male,0.85586
2176,male,0.83788
2931,male,0.82493
3590,male,0.81369
3613,male,0.81331
4849,male,0.79538
6007,male,0.78061
6156,male,0.77913
6266,female,0.77803
6761,female,0.77248
6800,female,0.77205
8369,female,0.75508
8482,female,0.75384
8596,male,0.75259
9238,female,0.74595
9986,male,0.73844
10106,female,0.73696
10899,male,0.72902
11308,male,0.72549
11532,male,0.72319
11871,female,0.71975
12380,female,0.7154
12546,male,0.71392
14008,female,0.69948
14488,female,0.69479
14806,female,0.69154
14949,male,0.6902
15272,male,0.687
15488,female,0.68485
17000,female,0.66472
17068,male,0.66367
17176,male,0.66185
17323,female,0.6597
17483,female,0.65731
18672,female,0.63943
19236,male,0.63097
19816,male,0.62064
19995,male,0.61778
21056,female,0.5966
22353,female,0.56347
22707,female,0.55285
23206,female,0.53741
23998,male,0.50806
24363,female,0.49228
24523,female,0.48315
25091,female,0.4515
25315,female,0.43649
26404,male,0.17799
