doc_id,sex,score,ZFYA
1,male,3.25,3.25
2,female,1.88,1.88
5,female,1.32,1.32
3,male,1.57,1.57
10,female,0.86,0.86
4,male,1.36,1.36
11,female,0.77,0.77
6,male,1.22,1.22
13,female,0.58,0.58
7,male,1.19,1.19
14,female,0.47,0.47
8,male,0.97,0.97
15,female,0.39,0.39
9,male,0.94,0.94
19,female,0.26,0.26
16,male,0.32,0.32
20,female,0.19,0.19
17,male,0.28,0.28
21,female,0.14,0.14
18,male,0.27,0.27
23,female,0.07,0.07
24,female,0.06,0.06
12,male,0.7,0.7
25,female,0.03,0.03
27,female,-0.07,-0.07
22,male,0.1,0.1
29,female,-0.14,-0.14
26,male,0.01,0.01
30,female,-0.18,-0.18
32,female,-0.2,-0.2
28,male,-0.13,-0.13
36,female,-0.39,-0.39
31,male,-0.19,-0.19
38,female,-0.41,-0.41
33,male,-0.21,-0.21
39,female,-0.44,-0.44
34,male,-0.22,-0.22
41,female,-0.56,-0.56
35,male,-0.22,-0.22
42,female,-0.7,-0.7
37,male,-0.4,-0.4
45,female,-1.06,-1.06
40,male,-0.52,-0.52
46,female,-1.33,-1.33
47,female,-1.45,-1.45
43,male,-0.85,-0.85
44,male,-0.99,-0.99
48,male,-1.56,-1.56
49,male,-2.0,-2.0
50,male,-2.11,-2.11
