doc_id,D,sex,Points,Career Points
1,1,male,26395,26395
2,2,male,5953,5953
5,5,female,4435,4435
3,3,male,4889,4889
7,7,female,4323,4323
4,4,male,4494,4494
8,8,female,3534,3534
6,6,male,4368,4368
9,9,female,3353,3353
10,10,male,2795,2795
12,12,female,2247,2247
11,11,male,2638,2638
18,18,female,1458,1458
13,13,male,2237,2237
19,19,female,1377,1377
14,14,male,1600,1600
24,24,female,503,503
15,15,male,1578,1578
25,25,female,453,453
16,16,male,1515,1515
26,26,female,350,350
17,17,male,1478,1478
29,29,female,296,296
20,20,male,1342,1342
30,30,female,288,288
21,21,male,767,767
31,31,female,240,240
22,22,male,753,753
32,32,female,224,224
23,23,male,751,751
33,33,female,208,208
27,27,male,349,349
34,34,female,194,194
28,28,male,301,301
37,37,female,121,121
35,35,male,150,150
38,38,female,100,100
36,36,male,147,147
39,39,female,94,94
40,40,male,86,86
41,41,female,82,82
43,43,female,65,65
42,42,male,68,68
44,44,female,34,34
45,45,female,27,27
46,46,female,22,22
47,47,male,15,15
48,48,female,9,9
49,49,male,6,6
50,50,male,6,6
