doc_id,Gender,Career Points
1,male,31852
2,male,9654
3,male,8759
4,female,7488
5,male,6808
6,male,6517
7,male,6424
8,male,5785
9,male,4644
10,male,4368
11,male,4072
12,female,3353
13,female,3001
14,female,2775
15,male,2553
16,male,2118
17,female,1050
18,female,763
19,male,625
20,male,579
21,female,542
22,female,503
23,male,440
24,male,375
25,female,350
26,male,336
27,female,309
28,female,304
29,male,285
30,male,249
31,female,247
32,female,200
33,female,194
34,male,177
35,female,123
36,female,98
37,female,94
38,female,55
39,male,35
40,female,35
41,female,34
42,female,24
43,male,20
44,female,19
45,female,17
46,male,14
47,female,10
48,male,10
49,female,9
50,male,4
