Gender,UGPA,LSAT,ZFYA
male,4.0,37.5,3.48
female,3.8,44.0,3.07
male,2.1,38.0,3.04
male,3.4,43.0,2.88
female,4.0,39.0,2.88
male,3.0,47.0,2.85
male,3.5,39.0,2.85
female,4.0,44.0,2.85
male,3.4,48.0,2.85
male,2.4,37.0,2.82
male,3.5,38.0,2.78
male,2.3,45.0,2.76
male,3.6,48.0,2.76
male,3.0,36.0,2.76
female,3.1,41.0,2.75
female,4.0,34.0,2.73
male,3.4,48.0,2.72
male,2.2,46.0,2.72
female,3.3,43.0,2.7
female,3.4,46.0,2.69
female,3.7,41.0,2.67
female,3.5,48.0,2.66
male,2.3,44.0,2.65
male,3.5,44.0,2.65
male,3.7,46.0,2.64
male,2.8,31.3,2.63
female,3.6,39.0,2.62
male,3.2,46.0,2.61
male,3.8,37.0,2.61
male,2.9,39.0,2.6
male,2.3,44.0,2.6
female,3.9,42.0,2.6
male,3.9,47.0,2.59
male,3.4,35.0,2.58
female,4.0,48.0,2.58
male,2.4,41.0,2.58
male,3.0,35.0,2.58
male,2.5,41.0,2.58
female,3.5,34.0,2.56
female,3.0,46.0,2.55
female,3.7,39.0,2.55
male,3.1,40.0,2.54
male,3.1,34.0,2.53
female,3.7,37.0,2.53
male,3.7,44.0,2.52
female,3.8,33.0,2.52
male,4.0,40.0,2.51
female,3.5,42.0,2.5
female,3.9,41.0,2.49
male,2.8,38.0,2.48
male,3.9,40.0,2.48
female,3.2,31.0,2.48
male,3.8,40.0,2.47
male,3.3,39.0,2.47
male,3.4,47.0,2.46
male,3.7,31.0,2.45
female,3.3,34.0,2.45
female,3.3,41.0,2.45
female,4.0,37.0,2.44
female,3.8,40.0,2.44
female,4.0,41.0,2.44
male,3.1,37.0,2.44
male,3.0,34.0,2.42
male,3.5,42.0,2.42
female,3.7,48.0,2.42
female,3.6,48.0,2.42
female,3.9,38.0,2.41
male,3.7,42.0,2.4
male,2.6,35.0,2.4
female,3.4,48.0,2.4
male,3.1,45.0,2.39
male,3.8,39.0,2.39
female,3.9,41.0,2.39
female,3.7,34.0,2.39
female,3.3,41.0,2.39
male,3.6,33.0,2.39
female,3.7,37.0,2.39
male,3.0,36.5,2.39
male,3.9,42.0,2.39
female,3.6,39.0,2.38
male,3.1,38.0,2.38
female,3.6,40.0,2.38
male,3.7,36.0,2.38
male,3.5,42.0,2.37
male,3.7,47.0,2.37
female,3.4,33.0,2.37
male,3.6,41.0,2.37
male,3.9,28.0,2.37
male,2.9,38.0,2.37
female,3.5,38.0,2.36
male,3.0,42.0,2.36
male,3.2,42.5,2.35
male,3.5,39.0,2.34
female,3.6,41.0,2.34
female,3.5,40.0,2.34
female,3.6,38.0,2.34
female,4.0,41.0,2.34
female,3.6,45.0,2.33
female,4.0,37.0,2.33
male,3.2,44.0,2.33
female,3.7,40.0,2.33
female,3.8,36.0,2.33
female,3.5,37.0,2.33
female,3.7,41.0,2.32
female,3.5,43.0,2.32
male,3.5,43.0,2.32
female,3.0,39.0,2.32
female,3.9,46.0,2.32
male,4.0,43.0,2.32
male,2.3,32.0,2.32
female,3.6,44.0,2.32
male,2.7,33.5,2.32
male,3.9,42.0,2.31
male,2.9,33.0,2.3
female,4.0,43.0,2.3
male,3.5,39.0,2.3
female,3.5,37.0,2.29
male,3.2,33.0,2.29
female,2.5,37.0,2.29
male,3.5,38.0,2.29
female,3.0,40.0,2.29
male,2.5,35.5,2.29
male,3.9,48.0,2.28
male,3.0,37.0,2.28
female,3.4,43.0,2.28
female,3.4,37.0,2.28
male,2.8,42.0,2.28
female,2.5,33.0,2.28
male,3.2,39.0,2.27
male,3.4,37.0,2.27
male,3.7,40.0,2.27
female,2.3,35.5,2.26
female,3.7,40.0,2.26
female,3.9,41.0,2.26
female,3.8,37.0,2.26
male,3.6,38.0,2.26
male,3.7,44.0,2.26
female,3.3,35.5,2.26
female,3.2,38.0,2.25
female,3.5,32.0,2.25
female,3.5,40.0,2.25
female,3.8,40.0,2.25
male,3.2,39.5,2.24
female,3.7,38.0,2.24
female,3.4,44.0,2.24
male,3.1,47.0,2.24
male,3.3,40.0,2.24
female,3.1,41.0,2.24
female,3.9,46.0,2.24
male,2.6,38.0,2.24
female,3.0,40.0,2.24
female,3.1,28.0,2.23
male,3.1,33.0,2.23
female,3.1,45.0,2.23
female,3.7,34.0,2.23
male,3.2,40.0,2.23
female,3.2,47.0,2.23
male,4.0,40.0,2.23
male,2.5,39.0,2.22
female,3.9,40.0,2.22
female,3.2,40.0,2.22
male,3.5,42.0,2.22
male,2.7,37.0,2.22
female,3.9,44.0,2.22
male,2.9,48.0,2.22
male,3.5,45.0,2.22
male,3.8,44.0,2.22
female,3.6,37.0,2.21
female,3.6,27.5,2.21
female,3.2,43.0,2.21
female,3.9,40.0,2.21
male,3.8,46.0,2.21
female,3.4,44.0,2.21
male,3.3,43.0,2.21
male,3.7,42.0,2.2
female,3.7,46.0,2.2
female,3.5,45.0,2.19
male,3.7,43.0,2.19
male,3.6,41.0,2.19
male,2.9,35.0,2.18
male,3.1,37.0,2.18
male,3.2,42.0,2.18
male,3.3,47.0,2.18
male,3.7,48.0,2.18
male,3.9,44.0,2.18
male,3.6,34.0,2.18
female,3.9,42.0,2.18
male,3.6,44.0,2.18
male,2.4,41.0,2.18
female,4.0,43.0,2.18
female,3.7,39.0,2.18
female,3.9,39.0,2.18
male,3.3,33.5,2.18
female,3.7,46.0,2.18
male,3.9,46.0,2.18
female,3.0,41.0,2.18
male,3.0,42.5,2.18
male,3.7,37.0,2.17
male,4.0,43.0,2.17
male,2.1,33.0,2.17
male,3.4,41.0,2.17
male,4.0,43.0,2.17
female,3.7,29.0,2.16
male,3.3,38.0,2.16
male,3.4,38.0,2.16
male,3.3,35.0,2.16
male,3.8,35.5,2.16
female,3.9,42.0,2.15
male,3.5,41.0,2.15
male,3.3,37.0,2.15
female,3.2,40.0,2.15
male,3.3,40.0,2.15
male,2.9,36.0,2.15
male,3.1,45.0,2.15
female,3.5,41.0,2.15
female,3.1,42.0,2.15
male,3.6,32.0,2.15
male,2.7,41.0,2.15
female,3.1,33.0,2.15
male,3.4,39.0,2.14
male,3.3,41.0,2.14
male,3.3,33.0,2.13
female,3.6,33.0,2.13
female,2.4,42.0,2.13
male,2.5,36.5,2.13
male,3.1,42.0,2.13
female,3.4,48.0,2.12
female,3.0,40.0,2.12
female,3.7,44.0,2.12
male,3.8,36.0,2.12
female,3.6,43.0,2.11
male,3.7,43.0,2.11
female,3.4,43.0,2.11
female,3.5,46.0,2.11
female,3.4,43.0,2.11
male,2.1,44.0,2.11
female,3.3,35.5,2.11
female,3.9,43.0,2.11
female,3.7,36.0,2.11
male,3.6,43.0,2.11
female,3.4,34.0,2.11
male,3.4,32.5,2.11
male,2.7,29.0,2.11
female,3.9,48.0,2.11
female,3.6,36.0,2.1
male,2.5,38.0,2.1
male,3.8,42.0,2.1
male,3.0,37.0,2.1
female,3.7,41.0,2.1
male,3.9,41.0,2.1
female,3.5,31.5,2.1
female,3.6,27.5,2.1
female,3.9,29.0,2.1
female,2.8,25.5,2.09
male,2.8,35.0,2.09
female,3.4,30.3,2.09
male,3.3,43.0,2.09
female,3.3,41.0,2.08
female,3.2,35.0,2.08
female,3.8,42.0,2.08
male,3.4,35.0,2.08
female,3.7,39.0,2.08
female,3.8,47.0,2.08
male,3.8,47.0,2.08
male,4.0,39.0,2.08
female,4.0,41.0,2.08
male,4.0,45.0,2.08
male,3.4,48.0,2.08
female,3.9,45.0,2.08
female,3.1,43.0,2.08
female,3.9,35.0,2.08
male,3.5,48.0,2.08
female,4.0,39.0,2.07
male,3.2,47.0,2.07
male,3.5,39.0,2.07
female,3.5,42.0,2.07
male,3.8,39.0,2.07
female,3.6,39.0,2.07
male,3.7,40.0,2.07
male,3.5,41.0,2.06
male,2.9,39.0,2.06
male,3.5,39.0,2.06
male,3.3,40.0,2.06
female,3.7,33.0,2.06
male,3.2,48.0,2.06
female,3.3,36.0,2.06
female,3.2,35.0,2.06
male,2.6,45.0,2.06
female,3.8,35.0,2.06
female,2.9,45.0,2.06
female,3.0,41.0,2.06
female,3.7,37.5,2.06
male,3.4,42.0,2.05
male,3.6,41.0,2.05
female,3.2,34.0,2.05
male,3.6,45.0,2.05
male,3.5,46.0,2.05
female,2.9,35.0,2.05
female,3.7,44.0,2.05
female,3.6,37.0,2.05
female,2.8,31.0,2.05
male,3.4,35.0,2.05
male,3.8,42.0,2.05
female,3.6,43.0,2.05
female,3.4,34.0,2.05
male,3.2,45.0,2.05
male,3.3,37.0,2.04
female,3.3,44.0,2.04
male,3.1,38.0,2.04
male,4.0,42.0,2.04
male,3.6,40.0,2.04
female,3.3,37.0,2.04
male,3.4,42.0,2.04
male,3.7,39.0,2.04
male,3.3,39.0,2.04
female,3.4,38.0,2.04
female,3.4,40.0,2.03
female,3.4,33.0,2.03
male,3.4,43.0,2.03
female,3.6,43.0,2.03
female,2.9,41.0,2.02
male,3.6,38.0,2.02
female,3.3,39.0,2.02
female,3.5,36.0,2.02
female,3.9,48.0,2.02
male,4.0,41.0,2.02
male,3.6,33.0,2.02
female,3.6,40.0,2.02
male,3.6,42.0,2.02
male,3.9,46.0,2.02
male,3.6,44.0,2.01
female,4.0,39.0,2.01
male,3.6,37.0,2.01
male,3.6,44.0,2.01
male,3.1,36.0,2.01
male,2.9,39.0,2.01
female,3.2,30.0,2.01
male,3.2,30.0,2.01
female,3.9,38.0,2.0
male,2.8,40.0,2.0
male,3.7,37.0,2.0
