doc_id,Gender,ApplicantIncome
1,male,20233
2,male,16120
3,male,14583
4,male,9328
5,male,8000
6,male,7583
7,male,6250
8,male,6125
9,male,5677
10,female,5500
11,male,5250
12,male,5166
13,male,5128
14,female,4606
15,female,4583
16,female,4547
17,male,4452
18,female,4333
19,female,4283
20,male,4243
21,female,4230
22,female,4180
23,male,3958
24,male,3850
25,female,3813
26,female,3620
27,male,3613
28,male,3571
29,female,3510
30,male,3466
31,female,3400
32,male,3315
33,female,3166
34,female,3166
35,male,3074
36,male,3010
37,male,2971
38,female,2900
39,female,2876
40,male,2833
41,female,2720
42,female,2645
43,female,2600
44,female,2500
45,male,2439
46,female,2366
47,female,2226
48,female,2213
49,female,2031
50,female,1937
