,doc_id,Gender,predictions,GT_score,Gender.1
0,760,male,0.8757,0.8757,male
1,1396,male,0.85677,0.85677,male
2,1441,male,0.85586,0.85586,male
3,2176,male,0.83788,0.83788,male
4,2931,male,0.82493,0.82493,male
5,3590,male,0.81369,0.81369,male
6,3613,male,0.81331,0.81331,male
7,4849,male,0.79538,0.79538,male
8,6007,male,0.78061,0.78061,male
9,6156,male,0.77913,0.77913,male
10,6266,female,0.77803,0.77803,female
11,6761,female,0.77248,0.77248,female
12,6800,female,0.77205,0.77205,female
13,8369,female,0.75508,0.75508,female
14,8482,female,0.75384,0.75384,female
15,8596,male,0.75259,0.75259,male
16,9238,female,0.74595,0.74595,female
17,9986,male,0.73844,0.73844,male
18,10106,female,0.73696,0.73696,female
19,10899,male,0.72902,0.72902,male
20,11308,male,0.72549,0.72549,male
21,11532,male,0.72319,0.72319,male
22,11871,female,0.71975,0.71975,female
23,12380,female,0.7154,0.7154,female
24,12546,male,0.71392,0.71392,male
25,14008,female,0.69948,0.69948,female
26,14488,female,0.69479,0.69479,female
27,14806,female,0.69154,0.69154,female
28,14949,male,0.6902,0.6902,male
29,15272,male,0.687,0.687,male
30,15488,female,0.68485,0.68485,female
31,17000,female,0.66472,0.66472,female
32,17068,male,0.66367,0.66367,male
33,17176,male,0.66185,0.66185,male
34,17323,female,0.6597,0.6597,female
35,17483,female,0.65731,0.65731,female
36,18672,female,0.63943,0.63943,female
37,19236,male,0.63097,0.63097,male
38,19816,male,0.62064,0.62064,male
39,19995,male,0.61778,0.61778,male
40,21056,female,0.5966,0.5966,female
41,22353,female,0.56347,0.56347,female
42,22707,female,0.55285,0.55285,female
43,23206,female,0.53741,0.53741,female
44,23998,male,0.50806,0.50806,male
45,24363,female,0.49228,0.49228,female
46,24523,female,0.48315,0.48315,female
47,25091,female,0.4515,0.4515,female
48,25315,female,0.43649,0.43649,female
49,26404,male,0.17799,0.17799,male
