doc_id,Gender,Career Points
1,male,38387
2,male,8486
3,female,7380
4,male,5086
5,female,4984
6,male,4914
7,female,3534
8,female,2849
9,female,2747
10,male,2264
11,male,2199
12,female,1935
13,male,1914
14,male,1908
15,male,1703
16,male,1578
17,female,1458
18,male,1187
19,male,983
20,female,794
21,female,667
22,female,658
23,male,598
24,female,561
25,female,453
26,male,440
27,male,370
28,male,329
29,female,319
30,male,316
31,female,309
32,male,299
33,female,200
34,female,177
35,female,175
36,female,147
37,female,124
38,male,108
39,female,98
40,female,97
41,male,94
42,male,48
43,female,38
44,female,30
45,female,30
46,male,27
47,male,22
48,female,21
49,male,12
50,male,0
