doc_id,Gender,score
81,male,0.93278
482,male,0.88918
1130,male,0.8625
1868,male,0.84448
2118,male,0.83922
3029,male,0.82335
4554,male,0.79949
4965,male,0.79395
5312,female,0.78917
6746,male,0.77263
6831,male,0.77172
7132,female,0.76842
7901,male,0.75996
8522,male,0.75336
8686,male,0.75173
8685,male,0.75173
9440,female,0.74384
10013,female,0.73811
10071,female,0.7373
10885,female,0.72917
11106,male,0.72726
11253,female,0.72596
12237,female,0.71669
12469,male,0.71459
12681,female,0.71239
12902,female,0.71038
15149,female,0.68829
15794,female,0.68126
15958,male,0.67902
16466,female,0.67199
16489,male,0.6717
17075,male,0.66353
17217,female,0.66138
17582,female,0.65593
18006,female,0.64995
18288,male,0.6455
19164,female,0.63193
19751,male,0.62193
19791,female,0.62117
19886,male,0.61959
20086,female,0.61596
21384,male,0.58852
21839,female,0.57776
23164,male,0.53889
23290,female,0.53416
23714,female,0.51939
23760,female,0.51786
24409,male,0.4897
25319,female,0.4363
26070,female,0.36607
